date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:17	24151/24151	---M--	200	added ('OK')	image/png	etag:%2259ed5af7-5e57%22	https://ngoc-thien.com/wp-content/uploads/2017/10/NgocVaThien-1.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/NgocVaThien-1.png	(from https://ngoc-thien.com/)
14:50:17	23974/23974	---M--	200	added ('OK')	image/png	etag:%2259ed57c6-5da6%22	https://ngoc-thien.com/wp-content/uploads/2017/10/ngoc-thien-trang.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/ngoc-thien-trang.png	(from https://ngoc-thien.com/)
14:50:18	336610/336610	---M--	200	added ('OK')	image/jpeg	etag:%2259ed57d9-522e2%22	https://ngoc-thien.com/wp-content/uploads/2017/10/3S8A0045.jpg	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/3S8A0045.jpg	(from https://ngoc-thien.com/)
14:50:18	17730/17730	---M--	200	added ('OK')	image/png	etag:%2259ed5b02-4542%22	https://ngoc-thien.com/wp-content/uploads/2017/10/icon.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/icon.png	(from https://ngoc-thien.com/)
14:50:18	863470/863470	---M--	200	added ('OK')	image/png	etag:%2259ed5804-d2cee%22	https://ngoc-thien.com/wp-content/uploads/2017/10/chui-re.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/chui-re.png	(from https://ngoc-thien.com/)
14:50:18	18250/18250	---M--	200	added ('OK')	image/png	etag:%2259eb2bdf-474a%22	https://ngoc-thien.com/wp-content/uploads/2017/10/co-dau-300x300.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/co-dau-300x300.png	(from https://ngoc-thien.com/)
14:50:19	27488/27488	---M--	200	added ('OK')	image/jpeg	etag:%2259eb2b6f-6b60%22	https://ngoc-thien.com/wp-content/uploads/2017/10/3S8A0236-683x1024.jpg	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/3S8A0236-683x1024.jpg	(from https://ngoc-thien.com/)
14:50:19	111920/111920	---M--	200	added ('OK')	image/jpeg	etag:%2259eb2b34-1b530%22	https://ngoc-thien.com/wp-content/uploads/2017/10/3S8A0354-683x1024.jpg	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/3S8A0354-683x1024.jpg	(from https://ngoc-thien.com/)
14:50:19	50524/50524	---M--	200	added ('OK')	image/jpeg	etag:%2259ed615a-c55c%22	https://ngoc-thien.com/wp-content/uploads/2017/10/3S8A0112-683x1024.jpg	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/3S8A0112-683x1024.jpg	(from https://ngoc-thien.com/)
14:50:19	89550/89550	---M--	200	added ('OK')	image/jpeg	etag:%2259eb2b08-15dce%22	https://ngoc-thien.com/wp-content/uploads/2017/10/3S8A0370-683x1024.jpg	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/3S8A0370-683x1024.jpg	(from https://ngoc-thien.com/)
14:50:19	45059/45059	---M--	200	added ('OK')	image/jpeg	etag:%2259eb2c05-b003%22	https://ngoc-thien.com/wp-content/uploads/2017/10/3S8A0063-683x1024.jpg	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/3S8A0063-683x1024.jpg	(from https://ngoc-thien.com/)
14:50:20	270650/270650	---M--	200	added ('OK')	image/jpeg	etag:%2259ead51b-4213a%22	https://ngoc-thien.com/wp-content/uploads/2017/10/3S8A0560.jpg	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/3S8A0560.jpg	(from https://ngoc-thien.com/)
14:50:20	4127/4127	---M--	200	added ('OK')	image/png	etag:%2259ed5afe-101f%22	https://ngoc-thien.com/wp-content/uploads/2017/10/NgocVaThien-1-300x118.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/NgocVaThien-1-300x118.png	(from https://ngoc-thien.com/)
14:50:20	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2024%20Oct%202017%2007:50:21%20GMT	https://ngoc-thien.com/wp-admin/customize.php?url=https://ngoc-thien.com/&autofocus%5Bsection%5D=menu_locations	D:/WEB/webwedding/ngoc-thien.com/wp-admin/customizeedbf.php	(from https://ngoc-thien.com/)
